root_id,hemisphere,type,column_id,x,y,p,q
720575940605334886,right,T5d,573,4,14,3,11
720575940605335910,right,T5c,649,-1,5,3,2
720575940605336422,right,T5d,649,-1,5,3,2
720575940605338336,left,T4d,115,-4,2,5,-3
720575940605345410,right,L3,614,-2,-8,-2,-6
720575940605349804,right,Mi4,41,-3,28,17,11
720575940605353062,right,T3,226,5,19,4,15
720575940605353760,right,L2,34,6,18,3,15
720575940605353905,right,T5b,164,-1,-2,0,-2
720575940605354668,left,Mi1,359,2,23,9,14
720575940605354924,left,Tm2,271,4,6,-1,7
720575940605358513,left,Tm20,707,-2,25,14,11
720575940605362912,left,Mi4,73,2,2,-1,3
720575940605364396,right,L2,209,-3,-8,-1,-7
720575940605367486,left,Tm1,694,4,3,-3,6
720575940605369312,left,C2,343,-3,27,16,11
720575940605371494,right,T5c,247,-4,-15,-4,-11
720575940605373868,left,T4b,473,-4,23,15,8
720575940605374910,right,T5a,45,-5,-1,4,-5
720575940605376224,right,L1,654,-3,8,7,1
720575940605378476,right,Mi4,710,4,-25,-17,-8
720575940605379104,left,T4a,132,2,4,0,4
720575940605380128,left,Tm9,42,-1,14,8,6
720575940605382176,left,Tm1,169,0,-18,-9,-9
720575940605384736,right,T5c,91,-1,6,4,2
720575940605384992,right,T3,9,4,9,0,9
720575940605387808,left,T2a,414,4,21,6,15
720575940605389484,right,L5,350,1,15,6,9
720575940605390764,left,T4a,635,6,-6,-9,3
720575940605392160,right,T5a,718,-5,24,17,7
720575940605394022,right,T5c,196,-1,8,5,3
720575940605395232,right,T2,279,-4,8,8,0
720575940605397536,right,T5c,674,-4,-14,-3,-11
720575940605398048,right,T4b,82,-7,7,10,-3
720575940605398304,right,T5b,347,-5,-13,-2,-11
720575940605401702,right,T2,576,0,28,14,14
720575940605402284,right,L2,673,2,5,0,5
720575940605403360,left,Tm20,592,3,-28,-17,-11
720575940605405408,left,C2,353,2,24,10,14
720575940605408870,right,T5b,732,-3,6,6,0
720575940605410732,left,T1,705,1,1,-1,2
720575940605411040,right,Tm2,169,0,-18,-9,-9
720575940605411244,right,L4,418,-2,15,9,6
720575940605413129,right,T5a,219,6,-4,-8,4
720575940605413385,right,T5c,219,6,-4,-8,4
720575940605418668,left,L2,122,-5,9,9,0
720575940605418942,right,T4c,103,7,9,-3,12
720575940605421280,left,Mi9,165,4,16,4,12
720575940605423282,right,T2,700,5,15,2,13
720575940605423532,right,L1,779,5,24,7,17
720575940605426278,right,T5c,688,-7,10,12,-2
720575940605426562,left,T4a,737,0,19,9,10
720575940605429950,right,T2,289,-1,11,6,5
720575940605430752,left,T1,618,-1,24,13,11
720575940605432422,right,T4c,257,2,21,8,13
720575940605432492,right,L3,779,5,24,7,17
720575940605438398,right,Tm2,760,0,17,8,9
720575940605440736,left,T2a,53,5,14,2,12
720575940605441638,left,Mi1,462,-1,18,10,8
720575940605442220,left,C3,139,1,-14,-8,-6
720575940605443500,left,T2,159,7,7,-4,11
720575940605444966,right,Tm9,695,-6,10,11,-1
720575940605446590,right,T4d,423,3,-18,-12,-6
720575940605451180,left,C3,415,6,12,0,12
720575940605453001,right,T4b,22,-1,3,2,1
720575940605454025,right,Tm20,241,2,-17,-11,-6
720575940605454182,left,T4b,460,-3,-20,-7,-13
720575940605455072,left,Tm2,306,3,7,0,7
720575940605456574,left,L5,483,2,-7,-6,-1
720575940605469286,right,C3,315,-3,-6,0,-6
720575940605470310,right,T4c,160,-2,20,12,8
720575940605475262,left,T5c,126,3,11,2,9
720575940605477041,right,Tm4,593,3,-14,-10,-4
720575940605478321,right,Mi1,18,5,-16,-13,-3
720575940605479870,right,T3,451,4,20,6,14
720575940605480369,right,Tm9,538,-4,1,4,-3
720575940605483185,left,T5a,544,3,-13,-10,-3
720575940605483977,right,T2a,345,3,-12,-9,-3
720575940605487974,right,T1,302,2,17,6,11
720575940605490022,left,Mi9,383,-6,11,11,0
720575940605490790,right,Mi4,191,-1,-11,-5,-6
720575940605492670,right,T5b,193,-5,4,7,-3
720575940605494444,left,T2,211,-7,-1,6,-7
720575940605494729,left,Mi9,108,-3,-12,-3,-9
720575940605500862,right,T5d,358,-3,17,11,6
720575940605501472,left,T4c,449,6,-16,-14,-2
720575940605501641,left,Tm4,387,-1,-15,-7,-8
720575940605504446,right,C2,654,-3,8,7,1
