root_id,length_nm,area_nm,size_nm
720575940603604258,411289,752417536,55938119680
720575940603605024,80013,225411968,16572262400
720575940603605538,221683,456087936,36667043840
720575940603609824,1744841,3252673024,160372981760
720575940603616800,1053881,1695535872,93635962880
720575940603618494,1056458,1572532992,84531496960
720575940603620268,1556383,2292702720,154871582720
720575940603621344,2671841,4759067392,337952256000
720575940603622828,1885066,2823118848,169324288000
720575940603636913,3509136,8244016640,696753633280
720575940603637438,1373901,3118238976,307970447360
720575940603639724,136846,271223680,9517957120
720575940603642982,791840,1490022656,108129576960
720575940603659488,541264,1421402624,95538851840
720575940603663276,696881,1293709952,87147837440
720575940603663974,1140476,2154111104,152466872320
720575940603667884,1582290,2855308800,214988687360
720575940603672032,924780,1450734720,82991800320
720575940603673056,2454328,4719317632,316064686080
720575940603673120,848239,1681997440,118894622720
720575940603674656,694410,1350002304,83881994240
720575940603676076,1197155,2184759552,131900354560
720575940603676448,2621507,4614148864,256383057920
720575940603676774,350869,558578048,40866252800
720575940603676844,1976206,3887416448,274693959680
720575940603683505,1523356,2383087360,139180042240
720575940603686624,1538390,2538575232,144803174400
720575940603687084,926814,1991321728,130096619520
720575940603688224,959059,1960733824,135046748160
720575940603688226,446446,753378432,50955212800
720575940603692256,1851112,2822908288,165048238080
720575940603693158,1248015,2266906368,149735106560
720575940603695025,2474473,3797947392,222160035840
720575940603701472,311905,597865856,52884572160
720575940603707657,852471,1277849088,85448458240
720575940603708350,445742,597424896,28239462400
720575940603713248,1400517,2236481408,142198528000
720575940603714272,1849044,3191293056,213523107840
720575940603714652,323904,549405952,40079104000
720575940603715296,1549340,3285839488,166224568320
720575940603718316,280352,947312384,110208686080
720575940603719614,1423078,3200273920,262735575040
720575940603719712,659675,1344512640,100130785280
720575940603720294,1822673,2650170752,156637716480
720575940603721248,811891,1535683584,104685547520
720575940603722412,1540425,2727919616,162117744640
720575940603727840,4025544,6589210240,485968138240
720575940603728561,351881,1114839040,97979678720
