Mi1,X,Y,Z,side,azimuth,elevation,radius,lattice_p,lattice_q,lattice_azi,lattice_elev,left_eye,lattice_p_corrected,lattice_q_corrected,azimuth_corrected,elevation_corrected,retinal_azi,DRA_paths,X_rot,Y_rot,Z_rot,lattice_p_rot,lattice_q_rot,position_x,position_y,position_z,optical_x,optical_y,optical_z,retinal_row,retinal_col,normal_x,normal_y,normal_z,skew_angle,binocular_angle,binocular
720575940627967101,800968.0162271805,264942.1622718053,222461.6227180528,right,-0.5269357267531821,1.621748071160353,132349.40000533123,-3.0,10.0,-0.5269357267531821,1.6217480711603518,False,-3.0,10.0,0.5269357267531821,1.6217480711603518,0.5269357267531821,0.0,41803.7519391199,276794.82786820526,37877.41410227791,-3.0,10.0,228.6784923534906,-257.03069237176516,43.76947244280618,0.47163186178809047,0.003233174097902859,0.11564859330365185,4.287,-13.789,0.9029091985826625,-0.28162774369149257,0.3247164811001332,0.3098920304112605,0.8646758540149163,True
720575940627970122,777345.0327983252,321680.1200279135,193648.87648290303,right,-0.1754253324432836,1.232540241226559,131447.35782821782,-8.0,0.0,-0.1754253324432827,1.232540241226559,False,-8.0,0.0,0.1754253324432827,1.232540241226559,0.1754253324432827,0.0,60875.691025876506,257231.58218082192,-24259.178173700268,-8.0,0.0,211.01707895954394,-330.78105021842333,-81.71386440044563,0.4408764509085687,-0.1823172588865827,-0.09725959044269833,-4.899,-8.485,0.8151841517369,-0.572927381081665,-0.0850236129783701,0.24702317231557772,16.271675928962644,False
720575940627984650,754677.525,173419.70833333334,198017.3333333333,right,-0.3511989940401316,2.4178967290923423,135071.41046215346,15.0,15.0,-0.3511989940401341,2.417896729092342,False,15.0,15.0,0.3511989940401341,2.417896729092342,0.3511989940401341,0.0,79527.87060339698,223720.80471002893,120803.47377778764,15.0,15.0,50.93281233840975,-270.83600712955746,202.55365396168955,0.018348543836247115,-0.025752484406607278,0.482692575163282,18.371,0.0,0.19085447033770714,-0.28300250007895905,0.9399383788851119,0.28295783279059894,6.290892458494692,False
720575940628010395,286131.31400966184,294455.2270531401,209003.0917874396,left,-0.0474145213812211,1.3207856035780468,114507.35885077305,-4.0,-3.0,-0.0460385151197597,1.328924167899156,True,-4.0,-3.0,0.0460385151197597,1.328924167899156,0.0460385151197597,0.0,41081.78028268945,-234540.61630784054,-30273.339994948834,-4.0,-3.0,138.35676857186235,399.1513162163299,-60.616171684691906,0.29445124663220384,0.37433884696979897,-0.06088068908497739,-4.287,-1.061,0.5301126601530963,0.8455771359589035,-0.06308624801766204,0.12385216183313229,46.903592728870734,False
720575940628083581,291561.8718914846,305072.18688771664,209580.28636021103,left,-0.0935510820895699,1.226499902227433,114888.31206455622,-6.0,-4.0,-0.0906322443102811,1.2377553213180454,True,-6.0,-4.0,0.0906322443102811,1.2377553213180454,0.0906322443102811,0.0,38936.54779396099,-228338.16565971854,-40246.88159954398,-6.0,-4.0,147.2577188871509,389.18769476312576,-88.99703279484714,0.33025498720620733,0.33296747474501076,-0.12248954430881671,-6.124,-2.121,0.5803144208501034,0.8070121843133817,-0.10939153222783589,0.212920037902831,37.50075212108295,False
720575940628087913,779340.228198859,221618.68948655247,193157.26161369195,right,-0.3172816705761791,2.007096443318317,129614.57572504097,7.0,10.0,-0.31728167057618,2.0070964433183174,False,7.0,10.0,0.31728167057618,2.0070964433183174,0.31728167057618,0.0,77174.68636494773,251838.52122089517,74339.85841524924,7.0,10.0,124.27797188711851,-326.3444421198705,129.71316998308086,0.2515214849204015,-0.221588626811684,0.34069934844270483,10.41,-3.182,0.5454848899339212,-0.5510473402311402,0.6315006442419231,0.12102033694976531,19.92108857848165,False
720575940628095560,253501.4350515464,264531.6948453608,251432.65979381447,left,0.456906297340454,1.4927243622378952,120473.6931640228,-4.0,7.0,0.4426914314028303,1.493928161029631,True,-4.0,7.0,-0.4426914314028303,1.493928161029631,-0.4426914314028303,0.0,3315.31288359549,-269008.67831780313,3579.897121897304,-4.0,7.0,225.05477628003183,287.1649169414341,20.545961817500732,0.4768233961956728,0.053407512896642736,0.0747572337181937,1.837,-11.667,0.8724902198420396,0.4127935372458379,0.2614618746357846,0.3411088058644213,2.5625721066190255,True
720575940628104762,280779.112830432,300158.9245647969,225876.36363636365,left,0.093655837803879,1.228999971863253,113061.507687444,-7.0,-1.0,0.0897477813150539,1.2399995358980282,True,-7.0,-1.0,-0.0897477813150539,1.2399995358980282,-0.0897477813150539,0.0,23425.793481356326,-239346.4798715996,-33598.29580409958,-7.0,-1.0,191.95628675069744,355.7708559567972,-72.80357349995927,0.4245872828387517,0.22150401516022125,-0.0861861569514761,-4.899,-6.364,0.7079313932868182,0.7007171017882711,-0.08847986019671489,0.30984246682092403,23.41689848971225,False
720575940628107881,772746.1203113941,316450.8506723284,181876.82944090583,right,-0.0845427068194619,1.29053737271369,131178.18372612173,-6.0,-1.0,-0.0845427068194611,1.2905373727136902,False,-6.0,-1.0,0.0845427068194611,1.2905373727136902,0.0845427068194611,0.0,73239.4658225231,252182.19392466397,-21306.70520496925,-6.0,-1.0,184.49915303207436,-362.9950524146861,-72.0866900655506,0.39500810553720705,-0.2742963804639509,-0.08449819150939517,-4.287,-5.303,0.6584397747871767,-0.7491184996383868,-0.07265353726931989,0.2612148043417319,27.927160620647992,False
720575940628157595,772999.947368421,325085.6177285319,188998.69806094185,right,-0.120983257551288,1.2126364870374828,131498.9975106152,-8.0,-1.0,-0.1209832575512874,1.2126364870374828,False,-8.0,-1.0,0.1209832575512874,1.2126364870374828,0.1209832575512874,0.0,64850.98884979155,253118.98945237696,-28662.010171321064,-8.0,-1.0,203.87277558193327,-340.90876523009143,-92.15331851131228,0.422308273820611,-0.20763985876632518,-0.11473338681184392,-5.511,-7.425,0.7303819156773509,-0.6606998372240094,-0.1732569835350096,0.2800156396318943,20.201421987694662,False
